experiment,variant,path,top_k_pages,batch_size,min_ctx,max_ctx,seed,iterations,warmup,num_heads,head_dim,page_size,total_pages,total_context_tokens,total_candidate_pages,total_selected_tokens,total_ms,speedup_vs_dense_cpu,raw_log
"backend_total_time","ctx_512","dense_cpu","8","16","512","512","7","10","2","32","128","16","512","8192","512","2048","145.047","1.000","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_512.txt"
"backend_total_time","ctx_512","sparse_cpu","8","16","512","512","7","10","2","32","128","16","512","8192","512","2048","21.490","6.749","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_512.txt"
"backend_total_time","ctx_512","dense_gpu","8","16","512","512","7","10","2","32","128","16","512","8192","512","2048","0.898","161.499","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_512.txt"
"backend_total_time","ctx_512","sparse_gpu","8","16","512","512","7","10","2","32","128","16","512","8192","512","2048","0.408","355.483","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_512.txt"
"backend_total_time","ctx_1024","dense_cpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","252.814","1.000","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_1024.txt"
"backend_total_time","ctx_1024","sparse_cpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","24.321","10.395","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_1024.txt"
"backend_total_time","ctx_1024","dense_gpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","1.574","160.610","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_1024.txt"
"backend_total_time","ctx_1024","sparse_gpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","0.438","576.610","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_1024.txt"
"backend_total_time","ctx_4096","dense_cpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","1347.073","1.000","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_4096.txt"
"backend_total_time","ctx_4096","sparse_cpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","38.764","34.751","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_4096.txt"
"backend_total_time","ctx_4096","dense_gpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","5.449","247.215","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_4096.txt"
"backend_total_time","ctx_4096","sparse_gpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","0.509","2644.469","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/00_backend_total_time/raw/ctx_4096.txt"
