experiment,variant,path,top_k_pages,batch_size,min_ctx,max_ctx,seed,iterations,warmup,num_heads,head_dim,page_size,total_pages,total_context_tokens,total_candidate_pages,total_selected_tokens,total_ms,score_ms,topk_ms,gather_ms,attention_ms,gpu_kernel_ms,gpu_kernel_other_ms,raw_log
"attention_backend_breakdown","ctx_1024","dense_cpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","220.704","0.000","0.000","0.000","220.703","0.000","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_1024.txt"
"attention_backend_breakdown","ctx_1024","sparse_cpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","21.732","3.786","0.016","12.199","5.729","0.000","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_1024.txt"
"attention_backend_breakdown","ctx_1024","dense_gpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","1.540","0.000","0.000","0.000","1.298","1.298","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_1024.txt"
"attention_backend_breakdown","ctx_1024","sparse_gpu","8","16","1024","1024","7","10","2","32","128","16","1024","16384","1024","2048","0.406","0.021","0.024","0.000","0.162","0.208","0.001","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_1024.txt"
"attention_backend_breakdown","ctx_4096","dense_cpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","1175.856","0.000","0.000","0.000","1175.853","0.000","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_4096.txt"
"attention_backend_breakdown","ctx_4096","sparse_cpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","34.565","14.784","0.037","13.126","6.612","0.000","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_4096.txt"
"attention_backend_breakdown","ctx_4096","dense_gpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","5.406","0.000","0.000","0.000","5.122","5.122","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_4096.txt"
"attention_backend_breakdown","ctx_4096","sparse_gpu","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","0.464","0.041","0.035","0.000","0.162","0.238","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_4096.txt"
"attention_backend_breakdown","ctx_16384","dense_cpu","8","16","16384","16384","7","10","2","32","128","16","16384","262144","16384","2048","6252.682","0.000","0.000","0.000","6252.678","0.000","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_16384.txt"
"attention_backend_breakdown","ctx_16384","sparse_cpu","8","16","16384","16384","7","10","2","32","128","16","16384","262144","16384","2048","78.079","57.959","0.068","13.546","6.499","0.000","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_16384.txt"
"attention_backend_breakdown","ctx_16384","dense_gpu","8","16","16384","16384","7","10","2","32","128","16","16384","262144","16384","2048","21.104","0.000","0.000","0.000","20.422","20.422","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_16384.txt"
"attention_backend_breakdown","ctx_16384","sparse_gpu","8","16","16384","16384","7","10","2","32","128","16","16384","262144","16384","2048","0.599","0.132","0.054","0.000","0.162","0.348","0","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/07_attention_backend_breakdown/raw/ctx_16384.txt"
